paper id,last_name,first_name,full_name
704.0002,Theran,Louis,Louis Theran
704.0004,Callan,David,David Callan
704.0005,Abu-Shammala,Wael,Wael Abu-Shammala
704.0005,Torchinsky,Alberto,Alberto Torchinsky
704.0003,Pan,Hongjun,Hongjun Pan
704.0007,Corichi,Alejandro,Alejandro Corichi
704.0007,Vukasinac,Tatjana,Tatjana Vukasinac
704.0007,Zapata,Jose A.,Jose A. Zapata
704.001,Ovchinnikov,Sergei,Sergei Ovchinnikov
704.0009,Harvey,Paul,Paul Harvey
704.0009,Merin,Bruno,Bruno Merin
704.0009,Huard,Tracy L.,Tracy L. Huard
704.0009,Chapman,Nicholas,Nicholas Chapman
704.0009,Evans,Neal J.,Neal J. Evans
704.0009,Myers,Philip C.,Philip C. Myers
704.0014,Fujii,Koichi,Koichi Fujii
704.0015,Stahn,Christian,Christian Stahn
704.0016,Chang,Chao-Hsi,Chao-Hsi Chang
704.0016,Li,Tong,Tong Li
704.0016,Li,Xue-Qian,Xue-Qian Li
704.0016,Wang,Yu-Ming,Yu-Ming Wang
704.0017,Buckley,David H.,David H. Buckley
704.0017,Potter,Steven B.,Steven B. Potter
704.0017,Warner,Brian,Brian Warner
704.0018,Gustavsson,Andreas,Andreas Gustavsson
704.0019,Konno,Norio,Norio Konno
704.0021,Casagrande,Vanessa,Vanessa Casagrande
704.0021,Togashi,Yuichi,Yuichi Togashi
704.0021,Mikhailov,Alexander S.,Alexander S. Mikhailov
704.0022,Wiese,Anke,Anke Wiese
704.0027,Fal'ko,Vladimir I.,Vladimir I. Fal'ko
704.0029,Shu,Zhan,Zhan Shu
704.0034,Ogryzko,Vasily,Vasily Ogryzko
704.0033,Yurkin,Maxim A.,Maxim A. Yurkin
704.0033,Maltsev,Valeri P.,Valeri P. Maltsev
704.0036,Wang,Liming,Liming Wang
704.0036,Sontag,Eduardo D.,Eduardo D. Sontag
704.0039,Roca,Luis,Luis Roca
704.004,Popa,Mihai,Mihai Popa
704.0041,Goswami,Debashish,Debashish Goswami
704.0042,Licata,Ignazio,Ignazio Licata
704.0049,Øbro,Mikkel,Mikkel Øbro
704.0048,Stroeer,Alexander,Alexander Stroeer
704.0048,Veitch,John,John Veitch
704.0048,Bloomer,Ed,Ed Bloomer
704.0048,Clark,James,James Clark
704.0048,Christensen,Nelson,Nelson Christensen
704.0048,Hendry,Martin,Martin Hendry
704.0048,Messenger,Chris,Chris Messenger
704.0048,Meyer,Renate,Renate Meyer
704.0048,Pitkin,Matthew,Matthew Pitkin
704.0048,Toher,Jennifer,Jennifer Toher
704.0048,Umstaetter,Richard,Richard Umstaetter
704.0048,Woan,Graham,Graham Woan
704.0051,Cohen,Scott M.,Scott M. Cohen
